Prez,Date,Positive,Negative,Neutral
Abraham Lincoln,1861_December_3,0.639439766,0.360560234,0.84601439
Abraham Lincoln,1863_December_8,0.638539095,0.361460905,0.859087154
Abraham Lincoln,1864_December_6,0.64315493,0.35684507,0.856166593
Andrew Jackson,1831_December_6,0.702119093,0.297880907,0.86305168
Andrew Jackson,1832_December_4,0.640368118,0.359631882,0.861965332
Andrew Jackson,1833_December_3,0.765468141,0.234531859,0.864548101
Andrew Johnson,1866_December_3,0.639931739,0.360068261,0.867306457
Barack Obama,2009_February_24,0.629620261,0.370379739,0.860566128
Barack Obama,2010_January_27,0.635409847,0.364590153,0.863256688
Barack Obama,2011_January_25,0.644191263,0.355808737,0.861336282
Barack Obama,2012_January_24,0.639329218,0.360670782,0.867210843
Barack Obama,2013_February_12,0.643781026,0.356218974,0.858601401
Barack Obama,2014_January_28,0.646590121,0.353409879,0.858313461
Barack Obama,2015_January_20,0.645497869,0.354502131,0.856264901
Barack Obama,2016_January_12,0.638780707,0.361219293,0.860054798
Calvin Coolidge,1923_December_6,0.646611473,0.353388527,0.849472075
Calvin Coolidge,1924_December_3,0.643792631,0.356207369,0.855591108
Chester A. Arthur,1881_December_6,0.765749158,0.234250842,0.874408235
Chester A. Arthur,1882_December_4,0.763044211,0.236955789,0.870010002
Chester A. Arthur,1883_December_4,0.757603161,0.242396839,0.885466551
Dwight D. Eisenhower,1953_February_2,0.643922601,0.356077399,0.851169902
Dwight D. Eisenhower,1954_January_7,0.893187399,0.106812601,0.865396186
Dwight D. Eisenhower,1955_January_6,0.894749031,0.105250969,0.862282454
Dwight D. Eisenhower,1957_January_10,0.892979821,0.107020179,0.853110423
Dwight D. Eisenhower,1958_January_9,0.790629116,0.209370884,0.846557396
Dwight D. Eisenhower,1959_January_9,0.893031483,0.106968517,0.854038899
Dwight D. Eisenhower,1960_January_7,0.639990225,0.360009775,0.848564062
Dwight D. Eisenhower,1961_January_12,0.890270605,0.109729395,0.862395123
Franklin D. Roosevelt,1934_January_3,0.88884764,0.11115236,0.851169649
Franklin D. Roosevelt,1935_January_4,0.891444231,0.108555769,0.855862009
Franklin D. Roosevelt,1936_January_3,0.783927238,0.216072762,0.840443621
Franklin D. Roosevelt,1937_January_6,0.894672965,0.105327035,0.862060229
Franklin D. Roosevelt,1938_January_3,0.542490614,0.457509386,0.849256047
Franklin D. Roosevelt,1939_January_4,0.889891791,0.110108209,0.851746533
Franklin D. Roosevelt,1940_January_3,0.88900678,0.11099322,0.854424922
Franklin D. Roosevelt,1941_January_6,0.653482956,0.346517044,0.852445664
Franklin D. Roosevelt,1942_January_6,0.685307989,0.314692011,0.842367056
